error(percentage),method
0.020329226,EXP
0.071593542,EXP
0.180225015,EXP
0.090112508,EXP
0.102311608,EXP
0.181311345,EXP
0.140256272,EXP
0.090791955,EXP
0.193255028,EXP
0.032387488,EXP
0.016193744,EXP
0.092608798,EXP
0.0127339,EXP
0.200778747,EXP
0.161608096,EXP
0.173117486,EXP
0.177124969,EXP
0.216947297,EXP
0.21574394,EXP
0.351547255,EXP
0.300358912,EXP
0.176885792,EXP
0.209676408,EXP
0.034784206,EXP
0.070866091,EXP
2.143951248,EXP
0.045492287,EXP
0.27137693,EXP
0.314820389,EXP
0.319582291,EXP
0.005891504,EXP
0.022360193,EXP
0.094534186,EXP
0.406719728,EXP
0.003885446,EXP
0.07871636,EXP
0.029403342,EXP
0.211226608,EXP
0.027108217,EXP
0.088879551,EXP
0.088759528,EXP
0.097596567,EXP
0.008064274,EXP
0.049823763,EXP
0.32672487,EXP
0.218685932,EXP
0.000435765,EXP
0.035386098,EXP
0.079994935,EXP
0.044469332,EXP
0.459240688,EXP
0.093240864,EXP
0.122729886,EXP
0.168415096,EXP
0.188750065,EXP
0.114589876,EXP
0.194023153,EXP
0.019754168,EXP
0.099960016,EXP
0.119504954,EXP
0.126522976,EXP
0.02419292,EXP
0.240248466,EXP
0.102154325,EXP
0.059562539,EXP
0.078292206,EXP
0.056939287,EXP
0.155583869,EXP
0.123986464,EXP
0.053348008,EXP
0.044290764,EXP
0.207295366,EXP
0.056432809,EXP
0.248548491,EXP
0.24722507,EXP
0.016736015,EXP
0.181886968,EXP
1.606142767,EXP
0.181818182,Base
0.079365079,Base
0.147058824,Base
0.163793103,Base
0.348148148,Base
0.027472527,Base
0.011299435,Base
0.083798883,Base
0.18556701,Base
0.073913043,Base
0.291079812,Base
0.345454545,Base
0.061111111,Base
0.100591716,Base
0.010752688,Base
0.026595745,Base
0.038251366,Base
0.068421053,Base
0.186440678,Base
0.161904762,Base
0.139344262,Base
0.1,Base
0.132275132,Base
0.469512195,Base
0.211618257,Base
0.181506849,Base
0.04057971,Base
0.033232628,Base
0.002923977,Base
0.184750733,Base
0.089928058,Base
0.075907591,Base
0.098159509,Base
0.047619048,Base
0.11038961,Base
0.116788321,Base
0.099173554,Base
0.009174312,Base
0.290909091,Base
0.192307692,Base
0.483870968,Base
0.141304348,Base
0.021097046,Base
0.119834711,Base
0.230046948,Base
0.213414634,Base
0.596899225,Base
1.365384615,Base
0.788617886,Base
0.218181818,Base
0.674418605,Base
0.177083333,Base
0.126582278,Base
0.024154589,Base
0.094059406,Base
0.131221719,Base
0.136,Base
0.342592593,Base
0.144827586,Base
0.153225806,Base
0.10952381,Base
0.069518717,Base
0.051724138,Base
0.229508197,Base
0.035460993,Base
0,Base
0.287671233,Base
0.058510638,Base
0.146892655,Base
0.17218543,Base
0.344632768,Base
0.310344828,Base
0.138157895,Base
0.092485549,Base
0.057324841,Base
0.263513514,Base
0,Base
0.13368984,Base
0.283950617,Base
0.057692308,Base
0.022727273,Base
0.2,Base
0.133333333,Base
0,Base
0.093137255,Base
0.058295964,Base
0.161904762,Base
0.3125,Base
0.216450216,Base
0.320441989,Base
